data,tags
ntdll kernel32 KernelBase user32 win32u gdi32 gdi32full msvcp_win ucrtbase msvcrt imm32 combase rpcrt4 bcryptprimitives kernel.appcore sechost uxtheme clbcatq ole32 tipskins BCP47Langs oleaut32 dwmapi twinapi SHCore TextInputFramework CoreUIComponents CoreMessaging advapi32 ntmarta WinTypes usermgrcli windows.storage shlwapi powrprof profapi userenv gpapi TipRes TipRes dui70 comctl32 duser GdiPlus msctf atlthunk tiptsf policymanager msvcp110_win tabskb oleacc tipresx tipresx winsta ,normal
msftedit wpdshext audiodev mfperfhelper ,normal
ntdll kernel32 KernelBase gdi32 gdi32full msvcp_win ucrtbase user32 win32u msvcrt combase rpcrt4 bcryptprimitives crypt32 msasn1 sechost sspicli userenv profapi comctl32 msctf oleaut32 imm32 winsta wtsapi32 shell32 cfgmgr32 SHCore windows.storage advapi32 shlwapi kernel.appcore powrprof wmsgapi uxtheme amsi MsCtfMonitor msimg32 msutb wintrust cryptsp rsaenh bcrypt cryptbase clbcatq imagehlp gpapi urlmon iertutil propsys amsiproxy dwmapi ole32 BCP47Langs Clipc dui70 DWrite UIAnimation d3d11 dxgi d3d10warp ResourcePolicyClient credui wincredui WinTypes TextInputFramework CoreUIComponents CoreMessaging ntmarta usermgrcli dcomp wincorlib MrmCoreR Windows.UI Windows.UI.Xaml Windows.UI.Immersive AudioSes MMDevAPI avrt devobj twinapi.appcore rdpendp winmm msacm32 winmmbase winmmbase d2d1 kbd101 Windows.Globalization Windows.Globalization.Fontgroups fontgroupsoverride version oleacc ncrypt ntasn1 policymanager msvcp110_win imecfm wer directmanipulation InputSwitch duser xmllite Windows.UI.CredDialogController Windows.UI.XamlHost tiptsf UIAutomationCore OneCoreCommonProxyStub Windows.UI.Cred FontGlyphAnimator Windows.Internal.UI.Logon.ProxyStub ninput ,normal
ntdll kernel32 KernelBase advapi32 msvcrt sechost rpcrt4 user32 win32u gdi32 gdi32full msvcp_win ucrtbase ole32 combase bcryptprimitives oleaut32 shell32 cfgmgr32 SHCore windows.storage shlwapi kernel.appcore powrprof profapi oleacc uxtheme dui70 imm32 PlaySndSrv ,normal
ntdll kernel32 KernelBase user32 win32u gdi32 gdi32full msvcp_win ucrtbase msvcrt imm32 combase rpcrt4 bcryptprimitives kernel.appcore sechost uxtheme clbcatq ole32 BCP47Langs oleaut32 dwmapi SHCore TextInputFramework CoreUIComponents CoreMessaging advapi32 ntmarta WinTypes usermgrcli windows.storage shlwapi powrprof profapi userenv gpapi dui70 comctl32 duser msctf atlthunk tiptsf policymanager msvcp110_win oleacc OneCoreCommonProxyStub winsta tipskins twinapi TipRes TipRes GdiPlus tabskb tipresx tipresx ,normal
ntdll kernel32 KernelBase ucrtbase combase rpcrt4 bcryptprimitives kernel.appcore msvcrt clbcatq user32 win32u gdi32 gdi32full msvcp_win imm32 sechost uxtheme IDStore bcrypt userenv profapi ,normal
ntdll kernel32 KernelBase advapi32 msvcrt sechost rpcrt4 user32 win32u gdi32 gdi32full msvcp_win ucrtbase shell32 cfgmgr32 SHCore combase bcryptprimitives windows.storage shlwapi kernel.appcore powrprof profapi uxtheme imm32 ole32 propsys oleaut32 clbcatq edputil Windows.StateRepository StateRepository.Core urlmon iertutil cryptbase msIso sspicli ,normal
EppManifest EppManifest sendmail sendmail mydocs audiodev mfperfhelper ,normal
IDStore wlidprov vaultcli shacctprofile CredentialMigrationHandler Windows.CloudStore deviceaccess aepic ,normal
SensApi SensApi SensApi ,normal
ntdll kernel32 KernelBase advapi32 msvcrt sechost rpcrt4 user32 gdi32 lpk usp10 comctl32 shlwapi imm32 msctf ole32 oleaut32 shell32 winbrand slc sppcommdlg cryptbase clbcatq cryptsp rsaenh RpcRtRemote sppc crypt32 msasn1 sppcomapi sppcext WinSCard winhttp webio rasapi32 ws2_32 nsi setupapi cfgmgr32 devobj rasman tapi32 wtsapi32 cryptui msi slwga sxs ,normal
ntdll kernel32 KernelBase advapi32 msvcrt sechost rpcrt4 crypt32 msasn1 ntdsapi ws2_32 nsi shlwapi gdi32 user32 lpk usp10 cryptdll secur32 sspicli shell32 imm32 msctf samlib rsaenh bcrypt ncrypt wlanapi wlanutil vaultcli ,mimikatz
